xlsPBID,xlsMemberID,FR25,FR50,FR100,FR200,FR400,BR25,BR50,BR100,BR200,BR400,BA25,BA50,BA100,BA200,BA400,BU25,BU50,BU100,BU200,BU400,ME25,ME50,ME100,ME200,ME400
61,64,00:00:22.3400000,00:00:50.3300000,00:00:00,00:00:00,00:00:00,00:00:32.5700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:25.8700000,00:00:56.8500000,00:00:00,00:00:00,00:00:00,00:00:24.5700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
62,65,00:00:32.5100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:44.5700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:39.8700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
63,66,00:00:19.9000000,00:00:45.1800000,00:00:00,00:00:00,00:00:00,00:00:27.4800000,00:01:03.3900000,00:00:00,00:00:00,00:00:00,00:00:24.7800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
64,67,00:00:20.5300000,00:00:45.0600000,00:00:00,00:00:00,00:00:00,00:00:28,00:01:05.6600000,00:00:00,00:00:00,00:00:00,00:00:27.7500000,00:01:03.6000000,00:00:00,00:00:00,00:00:00,00:00:22.2000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
65,68,00:00:34.9700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.0600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:43.6900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:39.3300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
66,69,00:00:25.9600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.8100000,00:01:09.0600000,00:00:00,00:00:00,00:00:00,00:00:34.2700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.3900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
67,70,00:00:00,00:00:42,00:00:00,00:00:00,00:00:00,00:00:00,00:00:52.9500000,00:00:00,00:00:00,00:00:00,00:00:25.9100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:21.6300000,00:00:49.9400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:50.2200000,00:00:00,00:00:00
68,71,00:00:19.2500000,00:00:42.4900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:57.5600000,00:00:00,00:00:00,00:00:00,00:00:23.0400000,00:00:52.3100000,00:00:00,00:00:00,00:00:00,00:00:25.0600000,00:00:56.8500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:01:54.4300000,00:00:00,00:00:00
69,72,00:00:23.1800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:31.1600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:38.2200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:35.6900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
70,73,00:00:19.6300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:32.0400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:36.8600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
